"ResponseId","Gender","Age","Education","LocationLatitude","LocationLongitude","instr_enthusiasm","instr_professional","instr_subject","instr_material","instr_rating","subject_1","subject_2","subject_3","subject_4","video_watched","assigned","assignment","ques_1","ques_2","ques_3","ques_4","quiz_avg","avg_rating"
"R_2WC5vlB2DCvHHrH","Male","30-40","Bachelors degree",52.36689758,4.951705933,3,4,4,4,4,"All of the above","Both A & B","Python is an object oriented programming language","Easy to Learn","Video1-1(Treatment)",1,"Treatment",1,1,0,0,0.5,3.75
"R_x2RQnFD8LZIZuRH","Female","40-50","Associates degree",36.99040222,-85.92389679,4,4,4,4,4,"Web Applications","Both A & B","Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages","Great Advanced Language","Video3-2(Control)",0,"Control",0,1,1,1,0.75,4
"R_O9f8Af9asil81DH","Female","30-40","Some College No degree",27.99290466,-82.40299988,1,4,3,2,4,"Web Applications","C. A low level implementation programming language","Python is an object oriented programming language","Easy to Learn","Video2-2(Control)",0,"Control",0,0,0,0,0,2.75
"R_3oTqFe6v8l4jV0p","Female","30-40","Some College No degree",36.83070374,-76.31459808,2,2,2,2,2,"Web Applications","B. A flexible programming language","Python was created by Guido van Rossum in 1991","Wonderful Community","Video2-1(Treatment)",1,"Treatment",0,0,0,0,0,2
"R_0ePUcdKMDE2jNe1","Female","30-40","Bachelors degree",39.30369568,-94.93219757,3,1,1,3,2,"Artificial intelligence projects","B. A flexible programming language","Python was created by Guido van Rossum in 1991","Wonderful Community","Video1-2(Control)",0,"Control",0,0,0,0,0,2.25
"R_2owAeGSUxdN9fQR","Female","40-50","Associates degree",44.14149475,-103.2052002,4,4,5,4,4,"Web Applications","B. A flexible programming language","Python is an object oriented programming language","Wonderful Community","Video2-2(Control)",0,"Control",0,0,0,0,0,4
"R_3MR7piXWpVNth0P","Female","30-40","Some College No degree",38.88420105,-76.99410248,3,3,3,3,3,"All of the above","All of the above","Python is an interpreted programming language","Great Starter Language","Video3-2(Control)",0,"Control",1,0,0,0,0.25,3
"R_2OOrkWDRLnqso6u","Female","50+","Some College No degree",42.55799866,-82.9980011,3,3,4,4,4,"All of the above","Both A & B","Python was created by Guido van Rossum in 1991","Great Advanced Language","Video1-1(Treatment)",1,"Treatment",1,1,0,1,0.75,3.5
"R_1IlSEHB9NqCZREX","Female","30-40","Less than High school",41.44529724,-81.69909668,3,3,3,1,2,"All of the above","Both A & B","Python is an interpreted programming language","Easy to Learn","Video3-1(Treatment)",1,"Treatment",1,1,0,0,0.5,2.25
"R_2DOCQLwZmHAitIO","Male","30-40","High school diploma",42.35620117,-71.06310272,3,4,5,5,4,"All of the above","Both A & B","Python was created by Guido van Rossum in 1991","Wonderful Community","Video2-1(Treatment)",1,"Treatment",1,1,0,0,0.5,4
"R_1CefRz8JH3pLb8L","Female","50+","High school diploma",38.54910278,-90.16010284,3,3,4,5,4,"Web Applications","A. A programming language designed to be human readable","Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages","Easy to Learn","Video2-2(Control)",0,"Control",0,0,1,0,0.25,3.75
"R_331rpTOYIzpvIGD","Female","20-30","Some College No degree",28.63439941,-81.62210083,3,3,3,3,3,"All of the above","All of the above","Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages","Great Advanced Language","Video1-2(Control)",0,"Control",1,0,1,1,0.75,3
"R_239tNg4U2X8tSz0","Female","30-40","Some College No degree",46.57780457,-87.4552002,3,4,4,3,3,"All of the above","Both A & B","Python is an object oriented programming language","Great Advanced Language","Video1-1(Treatment)",1,"Treatment",1,1,0,1,0.75,3.25
"R_2VqBPnSlvFQGJEG","Female","30-40","Associates degree",28.80099487,-81.73400116,2,5,4,2,3,"All of the above","Both A & B","Python is an object oriented programming language","Wonderful Community","Video2-2(Control)",0,"Control",1,1,0,0,0.5,3
"R_2PvBbSNMElXjQhn","Male","20-30","High school diploma",41.35710144,-72.93340302,3,4,3,3,3,"All of the above","Both A & B","Python is an object oriented programming language","Wonderful Community","Video3-2(Control)",0,"Control",1,1,0,0,0.5,3.25
"R_3MassJuUEP7PG7v","Female","20-30","Some College No degree",39.70379639,-91.38410187,2,5,5,4,3,"All of the above","Both A & B","Python was created by Guido van Rossum in 1991","Great Advanced Language","Video1-1(Treatment)",1,"Treatment",1,1,0,1,0.75,3.5
"R_3DbwV06tlwIdrUD","Female","30-40","Some College No degree",35.229599,-80.84300232,2,4,5,5,2,"Web Applications","A. A programming language designed to be human readable","Python was created by Guido van Rossum in 1991","Great Starter Language","Video3-1(Treatment)",1,"Treatment",0,0,0,0,0,3.25
"R_1dzRLLSCfZui1Ra","Female","40-50","High school diploma",35.09559631,-85.17690277,3,3,3,3,3,"Web Applications","Both A & B","Python is an interpreted programming language","Great Starter Language","Video1-1(Treatment)",1,"Treatment",0,1,0,0,0.25,3
"R_2DT83Yid4SlCHtB","Female","40-50","Some College No degree",41.82330322,-71.44100189,3,4,4,4,3,"Artificial intelligence projects","B. A flexible programming language","Python was created by Guido van Rossum in 1991","Easy to Learn","Video1-2(Control)",0,"Control",0,0,0,0,0,3.5
"R_3oSG0wyZ18nP2r9","Male","50+","High school diploma",35.05969238,-79.00579834,5,4,4,4,4,"All of the above","All of the above","Python is an object oriented programming language","Wonderful Community","Video3-2(Control)",0,"Control",1,0,0,0,0.25,4.25
"R_2X4fOV9LuSG95DB","Female","50+","Some College No degree",35.00439453,-82.43099976,1,4,4,4,4,"All of the above","Both A & B","Python was created by Guido van Rossum in 1991","Great Advanced Language","Video1-2(Control)",0,"Control",1,1,0,1,0.75,3.25
"R_1rwzJoNwkZ535jD","Female","40-50","Less than High school",37.2696991,-81.22119904,4,5,5,5,5,"All of the above","Both A & B","Python is an object oriented programming language","Great Advanced Language","Video2-1(Treatment)",1,"Treatment",1,1,0,1,0.75,4.75
"R_33yj1yO3qPNJqLp","Female","30-40","Associates degree",41.55070496,-87.61229706,3,3,3,4,3,"Web Applications","C. A low level implementation programming language","Python is an object oriented programming language","Great Starter Language","Video2-1(Treatment)",1,"Treatment",0,0,0,0,0,3.25
"R_3qkytmpoCIrI1O5","Male","20-30","Associates degree",42.38160706,-88.00260162,5,5,5,5,5,"All of the above","Both A & B","Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages","Great Starter Language","Video1-1(Treatment)",1,"Treatment",1,1,1,0,0.75,5
"R_77B1CCalj909Mo9","Male","40-50","High school diploma",29.9980011,-90.21330261,4,4,4,4,4,"All of the above","A. A programming language designed to be human readable","Python is an interpreted programming language","Wonderful Community","Video3-2(Control)",0,"Control",1,0,0,0,0.25,4
"R_2PBGB8BTYt6yYrS","Female","40-50","Some College No degree",29.7519989,-95.34300232,3,4,4,4,4,"All of the above","All of the above","Python is an object oriented programming language","Easy to Learn","Video3-2(Control)",0,"Control",1,0,0,0,0.25,3.75
"R_3NyLiKxryq35KV6","Female","20-30","High school diploma",34.07820129,-84.64849854,1,4,5,5,4,"All of the above","Both A & B","Python was created by Guido van Rossum in 1991","Great Advanced Language","Video2-2(Control)",0,"Control",1,1,0,1,0.75,3.5
"R_WlcDnxvlpI6OWD7","Female","30-40","Masters degree",36.66419983,-87.42079926,5,4,4,4,4,"Web Applications","Both A & B","Python is an interpreted programming language","Great Advanced Language","Video3-1(Treatment)",1,"Treatment",0,1,0,1,0.5,4.25
"R_3NFniXuy2Z6mUj0","Female","30-40","Masters degree",33.71530151,-84.33119965,4,4,5,3,3,"Artificial intelligence projects","A. A programming language designed to be human readable","Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages","Wonderful Community","Video2-1(Treatment)",1,"Treatment",0,0,1,0,0.25,3.5
"R_1NsjBpX2CSNy5Xl","Female","30-40","Associates degree",45.60800171,-84.48670197,4,4,4,4,4,"All of the above","Both A & B","Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages","Easy to Learn","Video2-2(Control)",0,"Control",1,1,1,0,0.75,4
"R_2vk3X2OIIEAlmah","Female","30-40","Some College No degree",28.54359436,-81.37380219,3,3,3,3,3,"All of the above","Both A & B","Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages","Great Advanced Language","Video1-1(Treatment)",1,"Treatment",1,1,1,1,1,3
"R_12xpckGMu1C2x5Y","Female","30-40","Bachelors degree",40.74180603,-74.22360229,3,2,2,2,2,"All of the above","All of the above","Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages","Great Advanced Language","Video3-2(Control)",0,"Control",1,0,1,1,0.75,2.25
"R_1Qhf9p9LDXHXYNg","Male","30-40","High school diploma",35.48249817,-86.46289825,5,5,5,5,5,"All of the above","Both A & B","Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages","Great Starter Language","Video2-2(Control)",0,"Control",1,1,1,0,0.75,5
"R_31YQcDwQ9WIHCDb","Female","20-30","Associates degree",40.69500732,-73.79100037,3,4,3,3,4,"Web Applications","Both A & B","Python was created by Guido van Rossum in 1991","Great Starter Language","Video1-2(Control)",0,"Control",0,1,0,0,0.25,3.5
"R_3dYPVwgN6gCSSn8","Male","30-40","High school diploma",43.21679688,-75.45349884,4,5,5,5,5,"All of the above","All of the above","Python is an interpreted programming language","Easy to Learn","Video3-2(Control)",0,"Control",1,0,0,0,0.25,4.75
"R_3q7L4ifExGjSPPW","Female","30-40","Some College No degree",41.89860535,-87.73799896,3,4,4,3,3,"All of the above","B. A flexible programming language","Python is an object oriented programming language","Great Starter Language","Video1-1(Treatment)",1,"Treatment",1,0,0,0,0.25,3.25
"R_2UbX2nM36Lyr70a","Female","40-50","Masters degree",35.84370422,-86.38809967,4,4,4,4,4,"All of the above","All of the above","Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages","Easy to Learn","Video3-1(Treatment)",1,"Treatment",1,0,1,0,0.5,4
"R_116j02IbOIG3wDN","Male","30-40","High school diploma",25.85020447,-80.23670197,4,1,3,2,2,"Web Applications","C. A low level implementation programming language","Python was created by Guido van Rossum in 1991","Wonderful Community","Video2-2(Control)",0,"Control",0,0,0,0,0,2.25
"R_swm7NJwu4ZEgfAt","Female","40-50","High school diploma",42.65820313,-71.30580139,3,3,3,3,3,"Web Applications","Both A & B","Python is an object oriented programming language","Great Advanced Language","Video2-1(Treatment)",1,"Treatment",0,1,0,1,0.5,3
"R_1gUVofk8qLf1aN8","Female","30-40","Bachelors degree",28.63439941,-81.62210083,1,4,4,3,3,"All of the above","All of the above","Python is an object oriented programming language","Great Advanced Language","Video1-2(Control)",0,"Control",1,0,0,1,0.5,2.75
"R_2yjFvH9su58a9Pg","Female","50+","Bachelors degree",41.89570618,-87.9434967,2,4,2,4,3,"Web Applications","Both A & B","Python is an interpreted programming language","Easy to Learn","Video2-1(Treatment)",1,"Treatment",0,1,0,0,0.25,3.25
"R_4TTrsOo4OMoGVod","Male","40-50","Some College No degree",38.91720581,-77.07089996,4,4,4,4,4,"All of the above","All of the above","Python is an object oriented programming language","Great Advanced Language","Video1-1(Treatment)",1,"Treatment",1,0,0,1,0.5,4
"R_PG7VifxL8A4h3fb","Female","30-40","Bachelors degree",32.07730103,-81.09010315,1,3,3,2,2,"Web Applications","A. A programming language designed to be human readable","Python is an object oriented programming language","Easy to Learn","Video3-2(Control)",0,"Control",0,0,0,0,0,2
"R_PRSjaSZdnx5EcBr","Male","20-30","Some College No degree",35.229599,-80.84300232,2,3,5,2,4,"Web Applications","Both A & B","Python is an object oriented programming language","Wonderful Community","Video3-1(Treatment)",1,"Treatment",0,1,0,0,0.25,2.75
"R_cO9a7DXPZdm5csx","Female","20-30","Less than High school",28.92739868,-81.98190308,1,3,4,4,3,"Web Applications","A. A programming language designed to be human readable","Python is an object oriented programming language","Wonderful Community","Video3-1(Treatment)",1,"Treatment",0,0,0,0,0,2.75
"R_3MA2AXtICK5l9LQ","Female","20-30","High school diploma",29.77560425,-95.30819702,5,5,5,5,5,"All of the above","All of the above","Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages","Easy to Learn","Video2-1(Treatment)",1,"Treatment",1,0,1,0,0.5,5
"R_3j0BYKA6AIbLZGO","Male","40-50","High school diploma",33.80549622,-117.9223022,1,3,3,3,2,"All of the above","Both A & B","Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages","Easy to Learn","Video1-2(Control)",0,"Control",1,1,1,0,0.75,2.25
"R_bO66zzscr5Oq7Rf","Female","30-40","Bachelors degree",38.69050598,-85.80280304,4,4,4,5,5,"All of the above","A. A programming language designed to be human readable","Python was created by Guido van Rossum in 1991","Wonderful Community","Video2-1(Treatment)",1,"Treatment",1,0,0,0,0.25,4.5
"R_2aIx5b3DAv2T6C8","Male","30-40","Associates degree",41.87640381,-87.61329651,3,4,4,3,3,"All of the above","All of the above","Python was created by Guido van Rossum in 1991","Easy to Learn","Video2-1(Treatment)",1,"Treatment",1,0,0,0,0.25,3.25
"R_ah2yv6WHGLtUX5v","Female","30-40","Bachelors degree",38.93449402,-84.54810333,3,5,5,5,4,"All of the above","All of the above","Python was created by Guido van Rossum in 1991","Great Advanced Language","Video2-1(Treatment)",1,"Treatment",1,0,0,1,0.5,4.25
"R_3Ra15RoJ5s0Bm5y","Female","40-50","Bachelors degree",29.10150146,-82.34130096,4,5,5,5,5,"Web Applications","A. A programming language designed to be human readable","Python is an interpreted programming language","Wonderful Community","Video3-1(Treatment)",1,"Treatment",0,0,0,0,0,4.75
"R_1gSm6Ygg7qzsc69","Male","30-40","Some College No degree",32.0388031,-81.12190247,3,4,4,5,5,"All of the above","B. A flexible programming language","Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages","Great Starter Language","Video2-1(Treatment)",1,"Treatment",1,0,1,0,0.5,4.25
"R_3GrczmAGVB1ztp8","Female","40-50","Some College No degree",40.03509521,-74.11070251,2,5,4,5,4,"All of the above","Both A & B","Python is an object oriented programming language","Great Advanced Language","Video3-2(Control)",0,"Control",1,1,0,1,0.75,4
"R_Q9xPGBWoyOITyDL","Female","40-50","Associates degree",41.87640381,-87.61329651,4,5,4,5,4,"All of the above","Both A & B","Python is an interpreted programming language","Great Advanced Language","Video2-2(Control)",0,"Control",1,1,0,1,0.75,4.5
"R_1pAoNWqgela3ls1","Male","30-40","Associates degree",33.50770569,-81.68769836,4,3,3,4,3,"All of the above","Both A & B","Python is an interpreted programming language","Easy to Learn","Video1-1(Treatment)",1,"Treatment",1,1,0,0,0.5,3.5
"R_3fdV11GEEo2egpJ","Female","30-40","Bachelors degree",29.7375946,-95.52100372,5,5,5,5,5,"Artificial intelligence projects","Both A & B","Python was created by Guido van Rossum in 1991","Easy to Learn","Video1-1(Treatment)",1,"Treatment",0,1,0,0,0.25,5
"R_3Gr0Goc7PkYlADM","Female","40-50","Some College No degree",39.73880005,-104.9868011,1,1,3,2,2,"All of the above","A. A programming language designed to be human readable","Python was created by Guido van Rossum in 1991","Wonderful Community","Video1-2(Control)",0,"Control",1,0,0,0,0.25,1.5
"R_4TMvvrz2LFcHCs9","Male","20-30","Associates degree",29.48730469,-98.45320129,5,4,4,5,4,"Web Applications","Both A & B","Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages","Wonderful Community","Video2-2(Control)",0,"Control",0,1,1,0,0.5,4.5
"R_x9rRtvZ7STbSKrf","Female","20-30","Bachelors degree",43.18060303,-77.59480286,1,3,2,3,1,"All of the above","All of the above","Python is an interpreted programming language","Great Advanced Language","Video3-2(Control)",0,"Control",1,0,0,1,0.5,2
"R_2ypaT6S6gqoiqW7","Male","30-40","High school diploma",36.09440613,-95.97170258,4,4,3,4,4,"All of the above","All of the above","Python is an interpreted programming language","Wonderful Community","Video1-2(Control)",0,"Control",1,0,0,0,0.25,4
"R_2tofP3y8b4O59Om","Female","30-40","Bachelors degree",41.99279785,-87.80539703,4,5,4,5,4,"Web Applications","B. A flexible programming language","Python is an object oriented programming language","Great Starter Language","Video2-1(Treatment)",1,"Treatment",0,0,0,0,0,4.5
"R_2E7cOW0XrsqSLZy","Female","30-40","High school diploma",39.50819397,-84.3986969,1,2,2,4,3,"All of the above","All of the above","Python is an object oriented programming language","Easy to Learn","Video2-2(Control)",0,"Control",1,0,0,0,0.25,2.5
"R_1EbTMpAAcpFRjeu","Male","40-50","Bachelors degree",37.4611969,-77.39499664,3,5,5,4,4,"All of the above","Both A & B","Python was created by Guido van Rossum in 1991","Great Advanced Language","Video3-2(Control)",0,"Control",1,1,0,1,0.75,4
"R_12hGDGScBJe1Fod","Male","20-30","High school diploma",46.87330627,-92.09480286,3,4,4,5,3,"All of the above","Both A & B","Python was created by Guido van Rossum in 1991","Easy to Learn","Video3-1(Treatment)",1,"Treatment",1,1,0,0,0.5,3.75
"R_PwxJkwF41vsNg6B","Male","30-40","Some College No degree",41.87640381,-87.61329651,3,4,3,4,3,"All of the above","Both A & B","Python is an object oriented programming language","Great Starter Language","Video3-1(Treatment)",1,"Treatment",1,1,0,0,0.5,3.5
"R_2b1AmkkEblYUWs0","Female","30-40","Bachelors degree",35.84370422,-86.38809967,5,5,5,5,5,"All of the above","All of the above","Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages","Easy to Learn","Video1-2(Control)",0,"Control",1,0,1,0,0.5,5
"R_3kk88DefSQ5wLo8","Female","40-50","Some College No degree",37.75100708,-97.8219986,1,4,4,4,3,"Web Applications","Both A & B","Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages","Great Advanced Language","Video1-1(Treatment)",1,"Treatment",0,1,1,1,0.75,3
"R_2zuWTWsFKii711U","Female","50+","High school diploma",39.5381012,-119.8365021,4,3,4,4,3,"Web Applications","B. A flexible programming language","Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages","Great Advanced Language","Video1-1(Treatment)",1,"Treatment",0,0,1,1,0.5,3.5
"R_3I0oLRbPHtbP1fv","Female","30-40","High school diploma",38.00520325,-84.42299652,3,3,3,3,3,"Web Applications","B. A flexible programming language","Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages","Great Starter Language","Video1-1(Treatment)",1,"Treatment",0,0,1,0,0.25,3
"R_3FIh6QKce5LLuLq","Male","30-40","Associates degree",42.35620117,-71.06310272,2,2,3,2,2,"All of the above","All of the above","Python is an object oriented programming language","Wonderful Community","Video1-2(Control)",0,"Control",1,0,0,0,0.25,2
"R_26nkK8oGuFNVgSe","Male","20-30","High school diploma",41.12849426,-78.74939728,2,4,4,3,3,"All of the above","Both A & B","Python is an interpreted programming language","Wonderful Community","Video3-2(Control)",0,"Control",1,1,0,0,0.5,3
"R_1l9VHQA8Ctng8wV","Female","30-40","Bachelors degree",33.74850464,-84.38710022,2,4,4,4,4,"All of the above","Both A & B","Python is an interpreted programming language","Easy to Learn","Video3-1(Treatment)",1,"Treatment",1,1,0,0,0.5,3.5
"R_33dxKovrbTBzpNf","Female","30-40","Some College No degree",40.17050171,-76.41660309,3,3,3,4,2,"All of the above","B. A flexible programming language","Python was created by Guido van Rossum in 1991","Easy to Learn","Video1-1(Treatment)",1,"Treatment",1,0,0,0,0.25,3
"R_26fpRrCqvRXCCnL","Male","30-40","High school diploma",39.90600586,-75.2397995,3,4,4,4,4,"All of the above","All of the above","Python is a compiled programming language with a faster and more efficient execution time than interpreted programming languages","Easy to Learn","Video3-2(Control)",0,"Control",1,0,1,0,0.5,3.75
